# Frequency (Hartree)   Sigma_Exact_ODE (a.u.)   Sigma_Train_VQA (a.u.)
-0.513126800086       -0.000000000000            0.000000000000           
-0.492601728083       -183.170959127973          -231.256991869346        
-0.472076656079       -344.126558054826          -333.127382658943        
-0.451551584076       -477.171606288920          -458.496244645508        
-0.431026512073       -577.886787379502          -562.278227140644        
-0.410501440069       -644.413313697168          -664.664962548623        
-0.389976368066       -665.090172261851          -702.071434350708        
-0.369451296062       -668.721431499239          -620.939782142939        
-0.348926224059       -610.928645154227          -590.763275940291        
-0.328401152055       -531.615979166861          -591.626057264288        
-0.307876080052       -415.896895185671          -376.429820847874        
-0.287351008048       -271.536985130884          -318.246879900982        
-0.266825936045       -102.859906978797          -9.930661643661          
-0.246300864041       84.741251634052            -6.396139184341          
-0.225775792038       285.188481607757           317.047175198716         
-0.205250720035       491.724346429812           498.771503018090         
-0.184725648031       696.811138923173           690.982857331044         
-0.164200576028       891.453799971925           903.495560295978         
-0.143675504024       1063.217140978709          1031.474647890368        
-0.123150432021       1182.700232811741          1213.306163985522        
-0.102625360017       934.038334031960           923.806323344665         
-0.082100288014       4206.452776666612          4205.071962674822        
-0.061575216010       -6371.718085633975         -6370.327601250439       
-0.041050144007       134719.164521300001        134717.067698755360      
-0.020525072003       -45894.188471405556        -45894.153343659244      
0.000000000000        -0.000000000000            -0.000000000000          
0.020525072003        -45894.188471405556        -45894.153343659244      
0.041050144007        134719.164521300001        134717.067698755360      
0.061575216010        -6371.718085633975         -6370.327601250439       
0.082100288014        4206.452776666612          4205.071962674822        
0.102625360017        934.038334031960           923.806323344665         
0.123150432021        1182.700232811741          1213.306163985522        
0.143675504024        1063.217140978709          1031.474647890368        
0.164200576028        891.453799971925           903.495560295978         
0.184725648031        696.811138923173           690.982857331044         
0.205250720035        491.724346429812           498.771503018090         
0.225775792038        285.188481607757           317.047175198716         
0.246300864041        84.741251634052            -6.396139184341          
0.266825936045        -102.859906978797          -9.930661643661          
0.287351008048        -271.536985130884          -318.246879900982        
0.307876080052        -415.896895185671          -376.429820847874        
0.328401152055        -531.615979166861          -591.626057264288        
0.348926224059        -610.928645154227          -590.763275940291        
0.369451296062        -668.721431499239          -620.939782142939        
0.389976368066        -665.090172261851          -702.071434350708        
0.410501440069        -644.413313697168          -664.664962548623        
0.431026512073        -577.886787379502          -562.278227140644        
0.451551584076        -477.171606288920          -458.496244645508        
0.472076656079        -344.126558054826          -333.127382658943        
0.492601728083        -183.170959127973          -231.256991869346        
