# Energy (eV)   Sigma_Compilation (a.u.)   Sigma_Exact (a.u.)   Sigma_Trotter1 (a.u.)   Sigma_Trotter2 (a.u.)   Sigma_Magnus2 (a.u.)
0.000000        0.000000000000             0.000000000000        0.000000000000        0.000000000000        0.000000000000       
0.558516        0.006638476618             0.006652799775        0.006499170051        0.006629517317        0.006655058828       
1.117031        0.000000000000             0.000000000000        0.000000000000        0.000000000000        0.000000000000       
1.675547        1.000000000000             1.000000000000        1.000000000000        1.000000000000        1.000000000000       
2.234063        0.000000000000             0.000000000000        0.000000000000        0.000000000000        0.000000000000       
2.792578        0.032503665693             0.030848958705        0.028291674140        0.030635773333        0.030755086937       
3.351094        0.000000000000             0.000000000000        0.000000000000        0.000000000000        0.000000000000       
3.909610        0.003205756312             0.000000000000        0.000000000000        0.000000000000        0.000000000000       
4.468125        0.000000000000             0.000000000000        0.000000000000        0.000000000000        0.000000000000       
5.026641        0.000659827791             0.000000000000        0.000128764567        0.000000000000        0.000000000000       
5.585157        0.000000000000             0.000270528633        0.000590290758        0.000307220724        0.000278448849       
6.143672        0.000000000000             0.000526350396        0.000833631156        0.000570104866        0.000533931183       
6.702188        0.016052610944             0.000651104525        0.000929138290        0.000699866734        0.000657629983       
7.260704        0.000000000000             0.000689920615        0.000969664743        0.000764103265        0.000695560738       
7.819219        0.007905055279             0.000673651560        0.001125828517        0.000770640733        0.000678392911       
8.377735        0.000000000000             0.000624410155        0.000576199191        0.000566189703        0.000628535011       
8.936251        0.011096262425             0.000564917286        0.045744917355        0.021887253486        0.000566899789       
9.494766        0.000000000000             0.000037364865        0.000000000000        0.000000000000        0.000044229191       
10.053282       0.000000000000             0.001671631542        0.391103396342        0.182360326892        0.001668629232       
10.611798       0.005427604333             0.000000000000        0.000000000000        0.000000000000        0.000000000000       
11.170313       0.004476706942             0.000495957111        0.030493792301        0.013912358043        0.000497031851       
11.728829       0.000000000000             0.000184568944        0.000239019670        0.000236452709        0.000185355171       
12.287345       0.000000000000             0.000131621969        0.000066232553        0.000090746846        0.000132151348       
12.845860       0.000000000000             0.000084426102        0.000117502229        0.000085780231        0.000084792967       
13.404376       0.008560366059             0.000041827486        0.000000000000        0.000015306371        0.000041898289       
