# Time (a.u.)   Final_Cost (Frobenius_Norm)
0.00000000      6.36348658               
6.12244898      7.33397999               
12.24489796     4.61796749               
18.36734694     3.87823159               
24.48979592     6.51058746               
30.61224490     6.69969841               
36.73469388     0.76619827               
42.85714286     4.93774879               
48.97959184     7.52570846               
55.10204082     5.33522760               
61.22448980     4.49211621               
67.34693878     7.59227944               
73.46938776     5.30168518               
79.59183673     1.56275342               
85.71428571     7.55731206               
91.83673469     7.63066569               
97.95918367     1.77810710               
104.08163265    3.94100088               
110.20408163    7.99728861               
116.32653061    5.88833769               
122.44897959    2.18132547               
128.57142857    5.69090140               
134.69387755    6.91731955               
140.81632653    4.56162437               
146.93877551    5.60607084               
153.06122449    7.82203524               
159.18367347    4.14176775               
165.30612245    2.03151501               
171.42857143    7.65664820               
177.55102041    7.19228822               
183.67346939    0.35098004               
189.79591837    4.33558257               
195.91836735    7.83041663               
202.04081633    4.91069418               
208.16326531    3.52584194               
214.28571429    7.25164749               
220.40816327    6.08477858               
226.53061224    3.81978627               
232.65306122    6.53840307               
238.77551020    7.80859892               
244.89795918    2.84762772               
251.02040816    3.23035206               
257.14285714    7.94825684               
263.26530612    6.53406403               
269.38775510    1.08753845               
275.51020408    5.98646119               
281.63265306    7.40981782               
287.75510204    5.16430795               
293.87755102    4.75612382               
300.00000000    7.66471243               
