# Time (fs)   Dipole_Exact (a.u.)   Dipole_Magnus2 (a.u.)   Dipole_Trotter1 (a.u.)   Dipole_Trotter2 (a.u.)   Dipole_Train (a.u.)  
0.000000        1.389645687013        1.389645687013        1.389645687013        1.389645687013        1.389645657527       
6.122449        1.396504248967        1.396524525738        1.397097420512        1.396595103233        1.396504562882       
12.244898       1.398829849033        1.398844739073        1.399329809949        1.398933432654        1.398830607628       
18.367347       1.400140382430        1.400148452703        1.400252948399        1.400131741833        1.400141092138       
24.489796       1.400333018082        1.400333531329        1.400451166492        1.400413834008        1.400334024624       
30.612245       1.399395038795        1.399388050227        1.399234237361        1.399416522655        1.399396376781       
36.734694       1.397415311893        1.397401639784        1.396928126372        1.397351741854        1.397416926863       
42.857143       1.394594897277        1.394576039049        1.394177775902        1.394622101838        1.394596700473       
48.979592       1.391214443348        1.391192447489        1.390527914902        1.391138371908        1.391216834655       
55.102041       1.387605574221        1.387582813564        1.386851073336        1.387506375733        1.387607854247       
61.224490       1.384132106977        1.384111058223        1.383596851902        1.384119443064        1.384134283486       
67.346939       1.381136901410        1.381119909898        1.380473781979        1.381014067743        1.381139647090       
73.469388       1.378915220128        1.378904237821        1.378486938179        1.378846374560        1.378918302404       
79.591837       1.377693033354        1.377689446040        1.377572369627        1.377692670271        1.377634330657       
85.714286       1.377587488065        1.377591973604        1.377457985378        1.377496331602        1.377564920553       
91.836735       1.378609238969        1.378621682573        1.378876134014        1.378632741220        1.378612746973       
97.959184       1.380660789534        1.380680326369        1.381136225630        1.380709938777        1.380664571718       
104.081633      1.383532969602        1.383558055245        1.383987937207        1.383518655149        1.383536931246       
110.204082      1.386943040730        1.386971594137        1.387728607190        1.387062252345        1.386948233028       
116.326531      1.390554088017        1.390583722694        1.391276157480        1.390633796519        1.390559867058       
122.448980      1.394002186947        1.394030421026        1.394595069562        1.394044603730        1.394006838356       
128.571429      1.396949245402        1.396973754191        1.397663301934        1.397099889276        1.396954271047       
134.693878      1.399101790749        1.399120660752        1.399467039376        1.399146983041        1.399107249127       
140.816327      1.400242178442        1.400254069092        1.400415091786        1.400279734272        1.400247826665       
146.938776      1.400262434525        1.400266727404        1.400377124939        1.400358299050        1.400268534113       
153.061224      1.399157483132        1.399154348156        1.398814317395        1.399112075922        1.399152118131       
159.183673      1.397035580506        1.397025930914        1.396604978735        1.397024728781        1.397042051220       
165.306122      1.394112494335        1.394097921775        1.393596901188        1.394111243014        1.394128276386       
171.428571      1.390673881943        1.390656496920        1.389837508907        1.390545036694        1.390668189226       
177.551020      1.387062443634        1.387044649270        1.386391728771        1.387020078517        1.387011524878       
183.673469      1.383640398638        1.383624679517        1.382979861455        1.383573337557        1.383599243802       
189.795918      1.380742360617        1.380731015180        1.380039067534        1.380604540174        1.380749915281       
195.918367      1.378659654595        1.378654559982        1.378361473345        1.378650020598        1.378668573864       
202.040816      1.377600280769        1.377602730068        1.377384051729        1.377541654997        1.377608373033       
208.163265      1.377664708111        1.377675260271        1.377628459577        1.377606952591        1.377673485358       
214.285714      1.378851455192        1.378869889601        1.379263065851        1.378926769990        1.378860085235       
220.408163      1.381041084996        1.381066437932        1.381456976177        1.381042080819        1.381049961474       
226.530612      1.384012953693        1.384043584116        1.384644993105        1.384070119786        1.384021615208       
232.653061      1.387477113582        1.387510884360        1.388351426472        1.387623312349        1.387486693802       
238.775510      1.391085615199        1.391120105762        1.391754971666        1.391130567481        1.391095079306       
244.897959      1.394479246521        1.394511973885        1.395247772532        1.394605577230        1.394489425070       
251.020408      1.397325331156        1.397354026049        1.398009222967        1.397462267787        1.397335303162       
257.142857      1.399335949778        1.399358770646        1.399632548400        1.399358940099        1.399346547188       
263.265306      1.400313216318        1.400328917628        1.400596288450        1.400420789863        1.400323896914       
269.387755      1.400162687736        1.400170769227        1.400126479631        1.400203058753        1.400172150015       
275.510204      1.398893992916        1.398894724960        1.398487784532        1.398842847816        1.398904712275       
281.632653      1.396637201784        1.396631601346        1.396245508739        1.396668467447        1.396649040037       
287.755102      1.393616726424        1.393606481838        1.392895799206        1.393536251569        1.393628927170       
293.877551      1.390128365489        1.390115640784        1.389289872581        1.390019722556        1.390143236205       
300.000000      1.386523921745        1.386511157871        1.385858576524        1.386496521964        1.386536622158       
