# Time (fs)   Fidelity
0.00000000      1.00000000     
6.12244898      0.99999965     
12.24489796     0.99999929     
18.36734694     0.99999894     
24.48979592     0.99999859     
30.61224490     0.99999824     
36.73469388     0.99999788     
42.85714286     0.99999752     
48.97959184     0.99999716     
55.10204082     0.99999681     
61.22448980     0.99999646     
67.34693878     0.99999611     
73.46938776     0.99999575     
79.59183673     0.99999440     
85.71428571     0.99999504     
91.83673469     0.99999469     
97.95918367     0.99999434     
104.08163265    0.99999398     
110.20408163    0.99999363     
116.32653061    0.99999327     
122.44897959    0.99999291     
128.57142857    0.99999256     
134.69387755    0.99999221     
140.81632653    0.99999185     
146.93877551    0.99999150     
153.06122449    0.99999114     
159.18367347    0.99999078     
165.30612245    0.99999043     
171.42857143    0.99999008     
177.55102041    0.99998972     
183.67346939    0.99998937     
189.79591837    0.99998901     
195.91836735    0.99998865     
202.04081633    0.99998830     
208.16326531    0.99998795     
214.28571429    0.99998760     
220.40816327    0.99998724     
226.53061224    0.99998689     
232.65306122    0.99998653     
238.77551020    0.99998617     
244.89795918    0.99998582     
251.02040816    0.99998547     
257.14285714    0.99998512     
263.26530612    0.99998476     
269.38775510    0.99998440     
275.51020408    0.99998404     
281.63265306    0.99998369     
287.75510204    0.99998334     
293.87755102    0.99998299     
300.00000000    0.99998263     
