Energy_eV	Error_Compilation	Error_Trotter1	Error_Trotter2	Error_Magnus2
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5.5851600000e-01	5.7055200000e-06	1.4439494700e-04	2.2640031000e-05	2.4484340000e-06
1.1170310000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.6755470000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.2340630000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.7925780000e+00	2.7804050000e-06	2.3595358140e-03	1.9436348700e-04	8.9779124000e-05
3.3510940000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
3.9096100000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
4.4681250000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5.0266410000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5.5851570000e+00	5.3429630000e-06	2.9524332100e-04	3.0579480000e-05	3.3332450000e-06
6.1436720000e+00	9.0595580000e-06	2.8951736600e-04	4.1939856000e-05	6.8769990000e-06
6.7021880000e+00	1.2455300000e-06	2.6712309200e-04	5.2082654000e-05	1.1157142000e-05
7.2607040000e+00	2.9757694000e-05	2.6114129600e-04	6.6199207000e-05	1.2368440000e-06
7.8192190000e+00	4.8059419000e-05	4.3124989100e-04	9.4780790000e-05	7.2352500000e-06
8.3777350000e+00	9.8563502000e-05	4.9004294000e-05	5.4044592000e-05	7.5837300000e-06
8.9362510000e+00	1.8172641000e-04	4.2702987535e-02	2.0184584256e-02	5.7897860000e-06
9.4947660000e+00	1.1040719700e-04	6.0585634500e-04	6.0585634500e-04	1.0821878000e-05
1.0053282000e+01	4.5091399000e-05	3.6029679347e-01	1.6728085576e-01	1.4261000000e-08
1.0611798000e+01	1.4422732500e-04	4.3688518300e-04	4.3688518300e-04	5.3674030000e-06
1.1170313000e+01	4.3081841000e-05	2.6764717445e-02	1.1933660363e-02	1.0880954000e-05
1.1728829000e+01	1.3117038900e-04	4.5282869000e-05	4.5075030000e-05	3.6925360000e-06
1.2287345000e+01	4.8281996000e-05	7.2836244000e-05	4.6630882000e-05	4.6309890000e-06
1.2845860000e+01	4.8522162800e-04	4.0362042000e-05	1.1516877000e-05	1.1919393000e-05
1.3404376000e+01	4.7511336000e-05	4.7511336000e-05	3.5131616000e-05	9.5406120000e-06
