Time_fs	Error_Train	Error_Trotter1	Error_Trotter2	Error_Magnus2
0.0000000000e+00	1.5145299992e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
6.1224490000e+00	5.2897699998e-07	6.0032613600e-04	9.4443664000e-05	2.0278760000e-05
1.2244898000e+01	7.0558400012e-07	4.9748727100e-04	1.0230188600e-04	1.4892251000e-05
1.8367347000e+01	2.6139199982e-07	1.2151370600e-04	4.2655770001e-06	8.0692589999e-06
2.4489796000e+01	9.9599500003e-07	1.2762710900e-04	8.5418615000e-05	5.1544000002e-07
3.0612245000e+01	1.0708610001e-06	1.5970671100e-04	2.1819551000e-05	6.9879689999e-06
3.6734694000e+01	1.6134780001e-06	4.7443314900e-04	5.7424435000e-05	1.3673486000e-05
4.2857143000e+01	1.5152800001e-06	4.1150651700e-04	2.9797100000e-05	1.8856243000e-05
4.8979592000e+01	2.5239860002e-06	6.8664924900e-04	7.6337060000e-05	2.1996778000e-05
5.5102041000e+01	2.4018420000e-06	7.4549644900e-04	9.4800011000e-05	2.2761768000e-05
6.1224490000e+01	2.5789130000e-06	5.3902443400e-04	1.4536819000e-05	2.1047116000e-05
6.7346939000e+01	2.5427690000e-06	6.6784133000e-04	1.2507382500e-04	1.6993480000e-05
7.3469388000e+01	2.7234439999e-06	4.2727519700e-04	6.8042906000e-05	1.0982730000e-05
7.9591837000e+01	2.9660340002e-06	1.3364161300e-04	6.4280390000e-06	3.5863410000e-06
8.5714286000e+01	3.1236100000e-06	1.3679348300e-04	9.4290408000e-05	4.4829250001e-06
9.1836735000e+01	3.9455780001e-06	2.6219324300e-04	2.1761895000e-05	1.2443817000e-05
9.7959184000e+01	3.7128400001e-06	4.6016688800e-04	4.2099113000e-05	1.9536730000e-05
1.0408163300e+02	4.2167849998e-06	4.5171795900e-04	1.5425600000e-05	2.5082827000e-05
1.1020408200e+02	3.6681340001e-06	7.8173055800e-04	1.1770736900e-04	2.8554157000e-05
1.1632653100e+02	4.7898889999e-06	7.1352052300e-04	7.5614229000e-05	2.9633602000e-05
1.2244898000e+02	5.0004700001e-06	5.9936013500e-04	4.5613455000e-05	2.8231930000e-05
1.2857142900e+02	5.5582080001e-06	7.1580897800e-04	1.5124433800e-04	2.4510267000e-05
1.3469387800e+02	5.4592000001e-06	3.6770736500e-04	4.5849705000e-05	1.8868706000e-05
1.4081632700e+02	5.8810320001e-06	1.8812900200e-04	4.4411831000e-05	1.1890271000e-05
1.4693877600e+02	6.1789190000e-06	1.2022070200e-04	9.7730982000e-05	4.2953780000e-06
1.5306122400e+02	6.4482120001e-06	3.3350654100e-04	4.1584286000e-05	3.1356440000e-06
1.5918367300e+02	6.6977039999e-06	4.1494218100e-04	3.9473270002e-06	9.6477360001e-06
1.6530612200e+02	7.0513449999e-06	5.1346792900e-04	9.9508400009e-07	1.4569476000e-05
1.7142857100e+02	7.3148180000e-06	8.2818857200e-04	1.2535331600e-04	1.7385050000e-05
1.7755102000e+02	7.2685269998e-06	6.6457390300e-04	3.9529916000e-05	1.7791147000e-05
1.8367346900e+02	7.4066569999e-06	6.6788660800e-04	7.0650661000e-05	1.5716908000e-05
1.8979591800e+02	7.5557599999e-06	7.0269627100e-04	1.3706433000e-04	1.1345823000e-05
1.9591836700e+02	7.7408660000e-06	3.0537574500e-04	1.2375436000e-05	5.0919570000e-06
2.0204081600e+02	8.9475329998e-06	2.3171976500e-04	6.5322716000e-05	2.3731469998e-06
2.0816326500e+02	8.6130840000e-06	4.1515614000e-05	5.9117679000e-05	1.0494368000e-05
2.1428571400e+02	8.2082030000e-06	3.9668606900e-04	6.9227705000e-05	1.8399037000e-05
2.2040816300e+02	8.6981340000e-06	4.0165609800e-04	4.8737089999e-06	2.5332165000e-05
2.2653061200e+02	8.8962289999e-06	6.2910906400e-04	5.6794015000e-05	3.0625898000e-05
2.3265306100e+02	9.3917480002e-06	8.6257711900e-04	1.4109485000e-04	3.3779314000e-05
2.3877551000e+02	9.7931340000e-06	6.6678936500e-04	4.3952212000e-05	3.4501719000e-05
2.4489795900e+02	9.9612560001e-06	7.7476773100e-04	1.2931540300e-04	3.2742047000e-05
2.5102040800e+02	1.0226545000e-05	6.8258065800e-04	1.3561944700e-04	2.8705738000e-05
2.5714285700e+02	1.0467432000e-05	3.0869765200e-04	2.7895326000e-05	2.2820045000e-05
2.6326530600e+02	1.0564614000e-05	2.9701976900e-04	1.1311023000e-04	1.5691804000e-05
2.6938775500e+02	1.0820973000e-05	2.9300912000e-05	4.2100638000e-05	8.0563820002e-06
2.7551020400e+02	1.1413289000e-05	3.8703766600e-04	4.3344339000e-05	6.9048100015e-07
2.8163265300e+02	1.1471299000e-05	3.7991621200e-04	3.5538896000e-05	5.6521070000e-06
2.8775510200e+02	1.1881879000e-05	7.1528082700e-04	7.9055408000e-05	1.0310113000e-05
2.9387755100e+02	1.2481762000e-05	8.2500060000e-04	1.0282352100e-04	1.2797580000e-05
3.0000000000e+02	1.2477033000e-05	6.6640765900e-04	2.8277047000e-05	1.2836663000e-05
