# Time (fs)   Dipole_Exact (a.u.)   Dipole_Train (a.u.)  Dipole_Trotter1 (a.u.)   Dipole_Trotter2 (a.u.)   Dipole_Magnus2 (a.u.)   
0.000000        1.389043523537        1.389043674990        1.389043523537        1.389043523537        1.389043523537       
6.122449        1.395932913827        1.395933442804        1.396533239963        1.396027357491        1.395953192587       
12.244898       1.398343401659        1.398344107243        1.398840888930        1.398445703545        1.398358293910       
18.367347       1.399789437911        1.399789699303        1.399910951617        1.399785172334        1.399797507170       
24.489796       1.400152320472        1.400153316467        1.400279947581        1.400237739087        1.400152835912       
30.612245       1.399400422007        1.399401492868        1.399240715296        1.399422241558        1.399393434038       
36.734694       1.397609049413        1.397610662891        1.397134616264        1.397551624978        1.397595375927       
42.857143       1.394956305823        1.394957821103        1.394544799306        1.394986102923        1.394937449580       
48.979592       1.391706618399        1.391709142385        1.391019969150        1.391630281339        1.391684621621       
55.102041       1.388182304761        1.388184706603        1.387436808312        1.388087504750        1.388159542993       
61.224490       1.384733677444        1.384736256357        1.384194653010        1.384719140625        1.384712630328       
67.346939       1.381703898525        1.381706441294        1.381036057195        1.381578824700        1.381686905045       
73.469388       1.379393263559        1.379395987003        1.378965988362        1.379325220653        1.379382280829       
79.591837       1.378031789371        1.378034755405        1.377898147758        1.378025361332        1.378028203030       
85.714286       1.377754928131        1.377758051741        1.377618134648        1.377660637723        1.377759411056       
91.836735       1.378589498349        1.378593443927        1.378851691592        1.378611260244        1.378601942166       
97.959184       1.380453222321        1.380456935161        1.380913389209        1.380495321434        1.380472759051       
104.081633      1.383160726884        1.383164943669        1.383612444843        1.383145301284        1.383185809711       
110.204082      1.386442518772        1.386446186906        1.387224249330        1.386560226141        1.386471072929       
116.326531      1.389973238579        1.389978028468        1.390686759102        1.390048852808        1.390002872181       
122.448980      1.393401566475        1.393406566945        1.394000926610        1.393447179930        1.393429798405       
128.571429      1.396386715237        1.396392273445        1.397102524215        1.396537959575        1.396411225504       
134.693878      1.398632699967        1.398638159167        1.399000407332        1.398678549672        1.398651568673       
140.816327      1.399915641435        1.399921522467        1.400103770437        1.399960053266        1.399927531706       
146.938776      1.400108270416        1.400114449335        1.400228491118        1.400206001398        1.400112565794       
153.061224      1.399191826781        1.399198274993        1.398858320240        1.399150242495        1.399188691137       
159.183673      1.397256611313        1.397263309017        1.396841669132        1.397252663986        1.397246963577       
165.306122      1.394495419189        1.394502470534        1.393981951260        1.394494424105        1.394480849713       
171.428571      1.391182643728        1.391189958546        1.390354455156        1.391057290412        1.391165258678       
177.551020      1.387646804020        1.387654072547        1.386982230117        1.387607274104        1.387629012873       
183.673469      1.384239909108        1.384247315765        1.383572022500        1.384169258447        1.384224192200       
189.795918      1.381300160009        1.381307715769        1.380597463738        1.381163095679        1.381288814186       
195.918367      1.379119281123        1.379127021989        1.378813905378        1.379106905687        1.379114189166       
202.040816      1.377914748950        1.377923696483        1.377683029185        1.377849426234        1.377917122097       
208.163265      1.377805484731        1.377814097815        1.377763969117        1.377746367052        1.377815979099       
214.285714      1.378802406993        1.378810615196        1.379199093062        1.378871634698        1.378820806030       
220.408163      1.380807011603        1.380815709737        1.381208667701        1.380802137894        1.380832343768       
226.530612      1.383619368256        1.383628264485        1.384248477320        1.383676162271        1.383649994154       
232.653061      1.386960358468        1.386969750216        1.387822935587        1.387101453318        1.386994137782       
238.775510      1.390498292645        1.390508085779        1.391165082010        1.390542244857        1.390532794364       
244.897959      1.393880900912        1.393890862168        1.394655668643        1.394010216315        1.393913642959       
251.020408      1.396772667578        1.396782894123        1.397455248236        1.396908287025        1.396801373316       
257.142857      1.398886181489        1.398896648921        1.399194879141        1.398914076815        1.398909001534       
263.265306      1.400010880507        1.400021445121        1.400307900276        1.400123990737        1.400026572311       
269.387755      1.400035727787        1.400046548760        1.400006426875        1.400077828425        1.400043784169       
275.510204      1.398957839332        1.398969252621        1.398570801666        1.398914494993        1.398958529813       
281.632653      1.396884054811        1.396895526110        1.396504138599        1.396919593707        1.396878402704       
287.755102      1.394021094538        1.394032976417        1.393305813711        1.393942039130        1.394010784425       
293.877551      1.390652755199        1.390665236961        1.389827754599        1.390549931678        1.390639957619       
300.000000      1.387113805029        1.387126282062        1.386447397370        1.387085527982        1.387100968366       
